Model Name,Threshold,Precision,Recall,F1 Score,ROC AUC,Jaccard Score,True Positives (TP),False Positives (FP),True Negatives (TN),False Negatives (FN),Total Savings ($),Cost of Operation ($),Net Savings ($)
Base XGBoost (50 Features),0.30000000000000004,0.8660358565737052,0.8107226107226108,0.8374668914038045,0.9974852790246937,0.7203811101905551,1739,269,553305,406,173900,43290,130610
Base XGBoost (50 Features),0.4,0.9033297529538131,0.7841491841491841,0.8395308210631395,0.9974852790246937,0.7234408602150537,1682,180,553394,463,168200,48100,120100
Base XGBoost (50 Features),0.5,0.9258426966292135,0.7682983682983683,0.8397452229299363,0.9974852790246937,0.7237593324549846,1648,132,553442,497,164800,51020,113780
Base XGBoost (50 Features),0.6,0.9471210340775558,0.7515151515151515,0.8380556277618924,0.9974852790246937,0.7212527964205817,1612,90,553484,533,161200,54200,107000
Base XGBoost (50 Features),0.7000000000000001,0.9597523219814241,0.7226107226107226,0.824468085106383,0.9974852790246937,0.7013574660633484,1550,65,553509,595,155000,60150,94850
Base XGBoost (50 Features),0.8,0.977646285338593,0.6932400932400933,0.8112384069830878,0.9974852790246937,0.68242312987609,1487,34,553540,658,148700,66140,82560
Base XGBoost (50 Features),0.9,0.9914651493598862,0.6498834498834499,0.7851309490284427,0.9974852790246937,0.6462679647658786,1394,12,553562,751,139400,75220,64180
Base XGBoost (50 Features),0.95,0.996206373292868,0.6121212121212121,0.7583020502454519,0.9974852790246937,0.6106976744186047,1313,5,553569,832,131300,83250,48050
Base XGBoost (50 Features),0.98,0.9965899403239556,0.544988344988345,0.7046413502109705,0.9974852790246937,0.5439739413680782,1169,4,553570,976,116900,97640,19260
Base XGBoost (50 Features),0.99,0.9990281827016521,0.47925407925407926,0.647763074984247,0.9974852790246937,0.4790307548928239,1028,1,553573,1117,102800,111710,-8910
Tuned XGBoost ADASYN (50 Features),0.02,0.5942028985507246,0.8983682983682983,0.7152932442464737,0.9973076854440502,0.5567754984108639,1927,1316,552258,218,192700,34960,157740
Tuned XGBoost ADASYN (50 Features),0.1,0.7437650844730491,0.862004662004662,0.7985316346361477,0.9973076854440502,0.6646297627606039,1849,637,552937,296,184900,35970,148930
Tuned XGBoost ADASYN (50 Features),0.2,0.8022947925860547,0.8475524475524475,0.8243028791657221,0.9973076854440502,0.7011183956806788,1818,448,553126,327,181800,37180,144620
Tuned XGBoost ADASYN (50 Features),0.30000000000000004,0.8262672811059908,0.8358974358974359,0.8310544611819235,0.9973076854440502,0.710943695479778,1793,377,553197,352,179300,38970,140330
Tuned XGBoost ADASYN (50 Features),0.4,0.8501675442795597,0.827972027972028,0.838923004251299,0.9973076854440502,0.7225386493083807,1776,313,553261,369,177600,40030,137570
